PNODENAME,LAT,LON,ISO,NODETYPE
UN.TOPSHAM 34.5MILR,43.95954287,-69.97672554,NEISO,GENERATOR
UN.MERIMACK13.8MK1,43.16271347,-71.50742716,NEISO,GENERATOR
UN.MERIMACK23.0MK2,43.16271801,-71.50743233,NEISO,GENERATOR
UN.MONTVLLE69  MO10,41.42866368,-72.10474443,NEISO,GENERATOR
UN.MONTVLLE13.8MON5,41.42866368,-72.10474443,NEISO,GENERATOR
UN.MONTVLLE22.0MON6,41.42866368,-72.10474443,NEISO,GENERATOR
UN.LEWSTN_L34.5MONY,44.08686858,-70.21187457,NEISO,GENERATOR
UN.MOORE   13.8MOOR,44.32916049,-71.88465793,NEISO,GENERATOR
UN.SHAWINGN13.8MPWR,42.1522,-72.5239,NEISO,GENERATOR
UN.MT_TOM  15.0MTOM,42.2814,-72.6053,NEISO,GENERATOR
UN.MYSTIC  22  MYS7,42.3917,-71.0667,NEISO,GENERATOR
UN.MYSTIC  24.0MYSJ,42.3917,-71.0667,NEISO,GENERATOR
UN.K_STREET115 NBS1,42.33940551,-71.03835986,NEISO,N/A
PINEY___2,,,NYISO,GENERATOR
UN.BELLNGHM13.2NEA,42.09188085,-71.48361663,NEISO,GENERATOR
UN.NEWINGTN24.0NEWI,43.09820658,-70.79249239,NEISO,GENERATOR
UN.E_SHORE 22  NHHB,41.28805743,-72.90450337,NEISO,GENERATOR
UN.TUNNEL  69  NORJ,41.5553,-72.0419,NEISO,GENERATOR
UN.NORWALKH17.1NRW1,41.12744304,-73.42835134,NEISO,GENERATOR
UN.NORWALKH19.0NRW2,41.12744304,-73.42835134,NEISO,GENERATOR
UN.NORWALKH13.8NRW3,41.12744304,-73.42835134,NEISO,GENERATOR
UN.WARD_HIL23  OGD,42.74421518,-71.11368879,NEISO,GENERATOR
UN.OCEAN_ST13.8OSP1,42.00995167,-71.66883258,NEISO,GENERATOR
UN.OCEAN_ST13.8OSP2,42.00995167,-71.66883258,NEISO,GENERATOR
UN.ADMIRAL 23.0PAWP,41.84167248,-71.42115082,NEISO,GENERATOR
UN.TOPSHAM 34.5PEJE,43.95954287,-69.97672554,NEISO,GENERATOR
UN.GRAHAM  46  PENB,44.824164,-68.705372,NEISO,GENERATOR
UN.CHEMICAL115 PERC,44.79079,-68.84881,NEISO,GENERATOR
UN.PILGRIM 22.8PILG,41.94322139,-70.5797677,NEISO,GENERATOR
UN.FLAGG_PD13.8PINE,42.596045,-71.95368,NEISO,GENERATOR
UN.PONTOOK 34.5PONT,44.656643,-71.26525,NEISO,GENERATOR
UN.POTTER  13.8POT2,42.2350469,-70.96675773,NEISO,GENERATOR
UN.FLORNCE 46  PROC,43.708194,-73.06293352,NEISO,GENERATOR
UN.SPRNG_ST34.5PTRR,43.65162078,-70.3602472,NEISO,GENERATOR
UN.BLACK_RK115 RBOW,41.9156,-72.6927,NEISO,GENERATOR
UN.RESCOS  115 RESC,42.44948689,-71.02291402,NEISO,GENERATOR
UN.WARD_HIL23  RESN,42.74421518,-71.11368879,NEISO,GENERATOR
UN.N_RUTLND46  RUT5,43.63346941,-73.05766363,NEISO,GENERATOR
UN.SALEM   23  SAL1,42.5267,-70.8792,NEISO,GENERATOR
UN.SALEM   23  SAL2,42.5267,-70.8792,NEISO,GENERATOR
UN.SALEM   23  SAL3,42.5267,-70.8792,NEISO,GENERATOR
UN.SALEM   22  SAL4,42.5267,-70.8792,NEISO,GENERATOR
UN.SEABROOK24.5SBRK,42.900779,-70.8539,NEISO,GENERATOR
UN.SCHILLER115 SCH4,43.0978,-70.7842,NEISO,GENERATOR
UN.SCHILLER115 SCH5,43.0978,-70.7842,NEISO,GENERATOR
UN.SCHILLER115 SCH6,43.0978,-70.7842,NEISO,GENERATOR
UN.SCHILLER115 SCHC,43.0978,-70.7842,NEISO,GENERATOR
UN.SEARS   69  SEAR,42.870865,-72.925154,NEISO,GENERATOR
UN.SECREC  69  SECR,41.48901688,-72.03347019,NEISO,GENERATOR
UN.SEMASS  13.8SEM1,41.813528,-70.794385,NEISO,GENERATOR
UN.SEMASS  13.8SEM2,41.813528,-70.794385,NEISO,GENERATOR
UN.HIGHGATE46  SHEL,44.93844654,-73.05402966,NEISO,GENERATOR
UN.SHEPAUG 69  SHEP,41.44871461,-73.29462492,NEISO,GENERATOR
UN.SHERMAN 115 SHER,42.7297,-72.9303,NEISO,GENERATOR
UN.ROLF_AVE69  SHRW,42.274133,-71.735628,NEISO,GENERATOR
UN.LOUDEN  34.5SKEL,43.529291,-70.503305,NEISO,GENERATOR
UN.SMITH_HY6.9 SMTH,44.472963,-71.172122,NEISO,GENERATOR
UN.S_MEADOW13.8SO11,41.75031456,-72.65405681,NEISO,GENERATOR
UN.S_MEADOW13.8SO12,41.75031456,-72.65405681,NEISO,GENERATOR
UN.S_MEADOW13.8SO13,41.75031456,-72.65405681,NEISO,GENERATOR
UN.S_MEADOW13.8SO14,41.75031456,-72.65405681,NEISO,GENERATOR
UN.SOMERSET115 SO6,41.73825405,-71.14589864,NEISO,GENERATOR
UN.SOMERSET115 SOJ2,41.73825405,-71.14589864,NEISO,GENERATOR
UN.S_MEADOW11.5SOM5,41.75031456,-72.65405681,NEISO,GENERATOR
UN.S_MEADOW11.5SOM6,41.75031456,-72.65405681,NEISO,GENERATOR
UN.STONYBRK13.2ST2A,42.1953,-72.5156,NEISO,GENERATOR
UN.STONYBRK13.2ST2B,42.1953,-72.5156,NEISO,GENERATOR
UN.STALBANS34.5STAB,44.80444035,-73.09883959,NEISO,N/A
UN.STEVENSN6.9 STEV,41.38226788,-73.17067263,NEISO,GENERATOR
UN.BIGELOW 115 STRA,45.10157029,-70.35368515,NEISO,GENERATOR
UN.PRID_CRN34.5SWBK,43.684857,-70.353152,NEISO,GENERATOR
UN.TAMWORTH115 TAMW,43.8647,-71.2601,NEISO,GENERATOR
UN.THAMES  20.0THAM,41.43348097,-72.09909541,NEISO,GENERATOR
UN.TORRNGTN69  TT10,41.77617369,-73.12100285,NEISO,GENERATOR
UN.TUNNEL  23.0TUNN,41.5553,-72.0419,NEISO,GENERATOR
UN.VERGENNE34.5VERD,44.1790163,-73.24933086,NEISO,GENERATOR
UN.VERNON  69  VERN,42.771549,-72.515318,NEISO,GENERATOR
UN.VT_YK   20.9VTYA,42.780124,-72.515929,NEISO,GENERATOR
UN.WATER_RV23  W_J1,42.54355811,-70.92860006,NEISO,GENERATOR
UN.WATER_RV115 W_J2,42.54355811,-70.92860006,NEISO,GENERATOR
UN.MIDDLESX34.5WATR,44.28915463,-72.67956048,NEISO,GENERATOR
UN.CHSTERME46  WENF,45.618055,-68.578263,NEISO,GENERATOR
UN.LAKEWOOD34.5WEST,44.78835,-69.736861,NEISO,GENERATOR
UN.WHITEFLD34.5WFPL,44.41614837,-71.4770813,NEISO,GENERATOR
UN.WHITE_LK34.5WHLA,43.84811385,-71.20682916,NEISO,GENERATOR
UN.WILDER  13.8WILD,43.68326954,-72.31182715,NEISO,GENERATOR
UN.WILLIAM 6.9 WILL,44.95909,-69.871071,NEISO,GENERATOR
UN.EAST_AVE13.8WINO,44.48065778,-73.18860737,NEISO,GENERATOR
UN.WALREC  115 WLRC,41.43977437,-72.83437679,NEISO,GENERATOR
UN.MILLBURY115 WMIM,42.19164385,-71.74285603,NEISO,GENERATOR
UN.W_MEDWAY13.8WMJ1,42.138968,-71.448468,NEISO,GENERATOR
UN.W_MEDWAY13.8WMJ2,42.138968,-71.448468,NEISO,GENERATOR
UN.MEDWAYJ313.8WMJ3,42.138968,-71.448468,NEISO,GENERATOR
UN.WOODLAND23  WOOD,42.335,-73.2364,NEISO,GENERATOR
UN.DEBLOIS 115 WORC,44.70046753,-67.95707655,NEISO,GENERATOR
UN.W_SPRFLD13.8WS10,42.09091032,-72.63484588,NEISO,GENERATOR
UN.W_SPRFLD13.8WSP3,42.09091032,-72.63484588,NEISO,GENERATOR
UN.WYMAN_HY13.8WYM1,45.070768,-69.903236,NEISO,GENERATOR
UN.WYMAN_HY13.8WYM2,45.070768,-69.903236,NEISO,GENERATOR
UN.WYMAN_HY13.8WYM3,45.070768,-69.903236,NEISO,GENERATOR
UN.YARMOUTH13.2YAR1,43.75124484,-70.15547564,NEISO,GENERATOR
UN.YARMOUTH13.2YAR2,43.75124484,-70.15547564,NEISO,GENERATOR
